metric,IoU,area,maxDets,value
Average Precision (AP),0.50:0.95,all,100,0.14
Average Precision (AP),0.5,all,100,0.459
Average Precision (AP),0.75,all,100,0.042
Average Precision (AP),0.50:0.95,small,100,-1
Average Precision (AP),0.50:0.95,medium,100,0.034
Average Precision (AP),0.50:0.95,large,100,0.142
Average Recall (AR),0.50:0.95,all,1,0.154
Average Recall (AR),0.50:0.95,all,10,0.309
Average Recall (AR),0.50:0.95,all,100,0.379
Average Recall (AR),0.50:0.95,small,100,-1
Average Recall (AR),0.50:0.95,medium,100,0.225
Average Recall (AR),0.50:0.95,large,100,0.38
