metric,IoU,area,maxDets,value
Average Precision (AP),0.50:0.95,all,100,0.093
Average Precision (AP),0.5,all,100,0.221
Average Precision (AP),0.75,all,100,0.071
Average Precision (AP),0.50:0.95,small,100,0.001
Average Precision (AP),0.50:0.95,medium,100,0.034
Average Precision (AP),0.50:0.95,large,100,0.121
Average Recall (AR),0.50:0.95,all,1,0.107
Average Recall (AR),0.50:0.95,all,10,0.215
Average Recall (AR),0.50:0.95,all,100,0.227
Average Recall (AR),0.50:0.95,small,100,0.018
Average Recall (AR),0.50:0.95,medium,100,0.133
Average Recall (AR),0.50:0.95,large,100,0.271
