Image_Index,Target,x,y,w,h
183015e171f5159d7e60d43578632a3f.jpg,Aortic enlargement,567.0,295.0,104.0,122.0
183015e171f5159d7e60d43578632a3f.jpg,Pleural thickening,58.0,794.0,58.0,57.0
183015e171f5159d7e60d43578632a3f.jpg,Pleural effusion,58.0,794.0,58.0,57.0
183015e171f5159d7e60d43578632a3f.jpg,Aortic enlargement,573.0,296.0,97.0,77.0
183015e171f5159d7e60d43578632a3f.jpg,Pleural thickening,72.0,813.0,38.0,51.0
183015e171f5159d7e60d43578632a3f.jpg,Cardiomegaly,416.0,581.0,444.0,190.0
e1eb9553f694d0eba82535625d70186c.jpg,Lung Opacity,700.0,518.0,144.0,99.0
e1eb9553f694d0eba82535625d70186c.jpg,Lung Opacity,713.0,512.0,124.0,103.0
e1eb9553f694d0eba82535625d70186c.jpg,Nodule/Mass,706.0,514.0,113.0,97.0
e1eb9553f694d0eba82535625d70186c.jpg,Lung Opacity,700.0,505.0,172.0,332.0
e1eb9553f694d0eba82535625d70186c.jpg,Nodule/Mass,700.0,518.0,144.0,99.0
97bd8561208807d003ff804d69348974.jpg,Lung Opacity,163.0,319.0,252.0,222.0
97bd8561208807d003ff804d69348974.jpg,Consolidation,136.0,327.0,295.0,242.0
97bd8561208807d003ff804d69348974.jpg,Aortic enlargement,537.0,158.0,106.0,101.0
97bd8561208807d003ff804d69348974.jpg,Pleural effusion,136.0,327.0,295.0,242.0
97bd8561208807d003ff804d69348974.jpg,Pleural effusion,163.0,319.0,252.0,222.0
97bd8561208807d003ff804d69348974.jpg,Cardiomegaly,372.0,328.0,442.0,144.0
16241940f17e8c7aae3e6236b25a7c84.jpg,Cardiomegaly,344.0,492.0,466.0,133.0
16241940f17e8c7aae3e6236b25a7c84.jpg,Cardiomegaly,352.0,533.0,464.0,80.0
16241940f17e8c7aae3e6236b25a7c84.jpg,Cardiomegaly,352.0,526.0,456.0,107.0
9850d20ee4d2bf722154a90ae07ddff8.jpg,Pulmonary fibrosis,634.0,246.0,188.0,200.0
9850d20ee4d2bf722154a90ae07ddff8.jpg,Infiltration,350.0,217.0,213.0,171.0
9850d20ee4d2bf722154a90ae07ddff8.jpg,Infiltration,634.0,246.0,188.0,200.0
9850d20ee4d2bf722154a90ae07ddff8.jpg,Lung Opacity,323.0,190.0,520.0,296.0
